OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,PoolArea,MSZoning_RM,Utilities_None,Neighborhood_NridgHt,Exterior1st_VinylSd,Exterior2nd_VinylSd,MasVnrType_None,MasVnrType_Stone,ExterQual_Ex,ExterQual_Gd,ExterQual_TA,Foundation_CBlock,Foundation_PConc,BsmtQual_Ex,BsmtQual_Gd,BsmtQual_TA,BsmtFinType1_GLQ,HeatingQC_Ex,HeatingQC_TA,CentralAir_N,CentralAir_Y,Electrical_SBrkr,KitchenQual_Ex,KitchenQual_Gd,KitchenQual_TA,FireplaceQu_Gd,FireplaceQu_NA,GarageType_Attchd,GarageType_Detchd,GarageType_None,GarageFinish_Fin,GarageFinish_None,GarageFinish_Unf,GarageQual_None,GarageQual_TA,GarageCond_None,GarageCond_TA,SaleType_New,SaleCondition_Partial
7.0,3.2537194732418078,2.344670531893013,19.555382019162664,501.2271795223647,5.172565877271285,8.025001083389167,2.0,2.347097738465853,0.0,1.6465977202606035,2.0,548.0,0.0,12.357575296859714,0.0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
6.0,11.959415513391717,5.9469495130910275,0.0,712.7974062113835,5.3907016873882565,7.6739602131055955,2.0,2.0628639152811306,0.9231399703306172,2.9497311008268894,2.0,460.0,62.02205584703515,0.0,0.0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
7.0,4.19324215736466,2.6086769538164867,17.87570759090297,535.1115090444154,5.213608831752753,8.07542830432737,2.0,2.0628639152811306,0.9231399703306172,1.8856551663728982,2.0,608.0,0.0,10.104128987351192,0.0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
6.0,12.472315816960325,3.7951459845369215,0.0,572.7072199990256,5.307635903176832,7.8452509138268,2.0,2.0628639152811306,0.9231399703306172,2.8267823923127944,2.0,480.0,0.0,7.565236225439719,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
8.0,4.628141747959248,3.0650187646725175,25.585602777885214,652.5887958106398,5.33667754441015,8.3167531138818,2.0,2.46752773658018,0.9231399703306172,1.9816476590550702,3.0,836.0,46.20495543707251,14.629994061807984,0.0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
6.0,13.220165584394504,4.242871632851591,0.0,572.7072199990256,5.307635903176832,7.8452509138268,2.0,2.0628639152811306,0.9231399703306172,2.9032625522978357,2.0,480.0,0.0,7.565236225439719,0.0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0
8.0,2.1808007668476153,1.2921844778739005,19.080094319159713,926.9555897530163,5.55156944443735,8.014105440420698,2.0,2.213357917573122,0.9231399703306172,1.2982951939764904,2.0,636.0,55.887493966786046,11.918089403449533,0.0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
7.0,13.220165584394504,6.349008990072773,21.49592507057915,632.912375913527,5.3178357723172285,8.258081840870933,2.0,2.213357917573122,1.750077544682001,3.0532211891566807,2.0,484.0,52.9136752433587,23.030715316213055,0.0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
7.0,21.79268888756269,7.761148465502634,0.0,551.9701471574178,5.273027355902281,8.067607513853021,2.0,2.347097738465853,1.750077544682001,3.5627652015742037,2.0,468.0,27.668938099174152,0.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
5.0,20.29415768273774,7.761148465502634,0.0,572.4452147579428,5.302459557983771,7.491662341038134,1.0,1.8906096468454086,1.750077544682001,3.4910666236530035,1.0,205.0,0.0,2.3852597332464116,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5.0,14.878761766293524,6.85137984504914,0.0,598.0639821036301,5.282844577003463,7.451540245871224,1.0,1.8906096468454086,0.0,3.1748675849326764,1.0,384.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
9.0,0.862970297600073,0.0,23.315762052266884,668.0795974768844,5.354384408443956,8.38173409353419,3.0,2.6777157141923693,1.750077544682001,0.6706638519094889,3.0,736.0,38.599011847246295,6.844201769958286,0.0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
5.0,15.557708795862812,7.049295083729242,0.0,530.8883437205154,5.2086502550747324,7.301067368873689,1.0,1.6889021481771878,0.0,3.2206464025663517,1.0,352.0,37.347759532787265,0.0,0.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
7.0,0.862970297600073,0.0,24.054064818058276,830.6916633517701,5.483393009591604,7.868693451302725,2.0,2.213357917573122,0.9231399703306172,0.6706638519094889,3.0,840.0,40.86976019822441,8.845700701511625,0.0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1
6.0,16.000988245412618,7.1762903123938395,20.28760831597405,708.1851441045734,5.386742216481545,7.665716560846045,1.0,1.8906096468454086,0.9231399703306172,3.249421211367644,1.0,352.0,0.0,23.53440391788933,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
7.0,21.97570282716359,2.6086769538164867,0.0,488.46024111770845,5.171230309544737,7.225939543695259,1.0,1.8906096468454086,0.0,2.4816926158278503,2.0,576.0,17.950615028685576,16.984342980478747,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
6.0,14.181538754276579,6.643607069516118,18.78781980482779,579.2533509759263,5.263021281947936,7.411137844279967,1.0,1.8906096468454086,0.9231399703306172,3.125533449636816,2.0,480.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
4.0,13.944753037051802,6.571946749809893,0.0,0.0,5.4053887241075715,7.704591751088298,2.0,2.0628639152811306,0.0,3.108204144218806,2.0,516.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0
5.0,2.7382986999434786,2.0471690397635434,0.0,636.5416669623053,5.321358702341794,7.5304568222698895,1.0,2.0628639152811306,0.0,1.491650558898005,2.0,576.0,0.0,16.184054949809436,0.0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0
5.0,16.652922943406416,6.918390877707231,0.0,592.3228510010358,5.423377522775803,7.742223728638078,1.0,2.0628639152811306,0.0,3.2902548908693343,1.0,294.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0
8.0,0.862970297600073,0.0,26.566877027890094,659.3060824583191,5.342968526263527,8.407550807032857,3.0,2.46752773658018,0.9231399703306172,0.6706638519094889,3.0,853.0,53.66505216156099,19.985735854825634,0.0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1
7.0,21.79268888756269,7.705998885386709,0.0,383.340362708336,5.31834052121804,7.524252337106937,1.0,2.0628639152811306,0.9231399703306172,3.5627652015742037,1.0,280.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0
8.0,3.736590948811928,2.6086769538164867,23.126560158988045,972.2157577408565,5.582759555291687,8.081260191994142,2.0,2.213357917573122,0.9231399703306172,1.7755114770992277,2.0,534.0,42.74194384598476,20.31210856549683,0.0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
5.0,11.959415513391717,5.9469495130910275,0.0,598.0639821036301,5.293539290646861,7.473398241887623,1.0,2.0628639152811306,0.9231399703306172,2.9497311008268894,2.0,572.0,29.72864205050845,16.82743959006247,0.0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0
5.0,14.648471477231295,3.266376180638625,0.0,608.4878978585483,5.293539290646861,7.473398241887623,1.0,2.0628639152811306,0.9231399703306172,3.1588434561306498,1.0,270.0,76.21749187378727,15.166180343845708,0.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
8.0,1.5655621688339745,1.2921844778739005,33.64539813790084,866.9189283276261,5.520677177522795,7.947983520788351,2.0,2.213357917573122,0.9231399703306172,1.042847167577259,3.0,890.0,0.0,11.805682465313792,0.0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
5.0,18.32348938453371,3.453862457778375,0.0,524.5470841119923,5.201123482233,7.285915155201054,1.0,1.8906096468454086,0.0,1.6465977202606035,2.0,576.0,50.93379793833069,8.69526052206493,0.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0
8.0,2.1808007668476153,1.2921844778739005,19.74157641315824,935.9259207514551,5.554746181773135,8.020926965415184,2.0,2.213357917573122,0.9231399703306172,1.042847167577259,3.0,772.0,0.0,11.107710594736925,0.0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
5.0,16.219982696805744,3.266376180638625,0.0,825.6473370580347,5.520677177522795,7.947983520788351,1.0,2.0628639152811306,1.750077544682001,3.263329853554075,1.0,319.0,60.62428040322283,25.89624709736478,0.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0
6.0,12.973598665773014,4.100832566989532,0.0,572.7072199990256,5.307635903176832,7.8452509138268,1.0,1.6889021481771878,0.0,3.6491776363750117,1.0,240.0,18.2096212397909,0.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
4.0,23.758798597933236,7.761148465502634,0.0,389.88830625740303,5.012724044954527,7.723120477441038,1.0,2.0628639152811306,0.0,3.6491776363750117,1.0,250.0,0.0,11.577632371387796,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0
5.0,14.648471477231295,1.2921844778739005,0.0,695.356955658401,5.375580144047885,7.642509588475641,1.0,2.0628639152811306,0.0,3.1588434561306498,1.0,271.0,0.0,12.782016376253038,0.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0
8.0,0.862970297600073,0.7671366423300326,0.0,698.4379316385894,5.378281319706841,7.648121178105017,2.0,2.213357917573122,0.0,0.6706638519094889,2.0,484.0,0.0,8.386820330054311,0.0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
5.0,16.652922943406416,7.360035271415208,0.0,782.1322299681477,5.553477913987227,8.018203072900063,1.0,2.0628639152811306,0.9231399703306172,3.2902548908693343,2.0,447.0,0.0,9.564338989758749,0.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
9.0,1.5655621688339745,1.2921844778739005,21.744099722296518,864.408264612301,5.507278924870525,7.919425962481428,2.0,2.0628639152811306,0.9231399703306172,1.042847167577259,2.0,556.0,47.966548149666345,10.742063981229498,0.0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
8.0,1.5655621688339745,0.7671366423300326,16.215286258111384,638.0964234821795,5.3303088088557695,8.444304127324456,3.0,2.46752773658018,0.9231399703306172,1.042847167577259,3.0,691.0,32.30358810155733,8.69526052206493,0.0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
5.0,7.266414651682997,4.100832566989532,0.0,627.7239443737411,5.312760985398118,7.512791515788429,1.0,2.0628639152811306,0.0,2.3856731552624146,2.0,672.0,74.45846270681798,12.677237229870752,0.0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0
5.0,17.499828210607184,4.754817356075278,33.880674593943795,730.704944736979,5.405814362333641,7.705480717122118,1.0,1.8906096468454086,0.9231399703306172,3.34085506458831,2.0,498.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
