OverallQual,GrLivArea,GarageCars,YearBuilt,GarageArea,ExterQual_TA,FullBath,TotalBsmtSF,YearRemodAdd,KitchenQual_TA,ExterQual_Gd,Foundation_PConc,1stFlrSF,TotRmsAbvGrd,BsmtQual_TA,HeatingQC_Ex,BsmtFinType1_GLQ,GarageFinish_Unf,OpenPorchSF,FireplaceQu_NA,KitchenQual_Gd,BsmtQual_Ex,Fireplaces,MasVnrArea,GarageType_Attchd,GarageType_Detchd,MasVnrType_None,BsmtQual_Gd,KitchenQual_Ex,GarageFinish_Fin,Exterior1st_VinylSd,Exterior2nd_VinylSd,HeatingQC_TA,Foundation_CBlock,GarageCond_TA,Neighborhood_NridgHt,CentralAir_N,CentralAir_Y,MasVnrType_Stone,MSZoning_RM,WoodDeckSF,LotFrontage,HalfBath,2ndFlrSF,GarageYrBlt,BsmtFinSF1,FireplaceQu_Gd,SaleType_New,GarageQual_TA,HouseStyle_2Story,LotArea,SaleCondition_Partial
7,7.309734993515538,2.0,2003,548.0,0,2,509.97813272236925,2003,0,1,1,5.098132110388433,2.3014743180824713,0,1,1,0,12.646940035691632,1,1,0,0.0,21.05415899895093,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0.0,29.684014605581073,1.1280955051328556,1281.7275494196615,2003.0,155.09341948424074,0,0,1,1,56.424645598561504,0
6,7.016878645367712,2.0,1976,460.0,1,2,726.0933713183565,1976,1,0,0,5.309195227803679,2.0273854736078607,0,1,0,0,0.0,0,0,0,0.909676106356333,0.0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,63.0977289114543,34.8447810963252,0.0,0.0,1976.0,196.4265769959635,0,0,1,0,58.97234705143692,0
7,7.35162303221651,2.0,2001,608.0,0,2,544.5725282671762,2002,0,1,1,5.137873884608008,2.0273854736078607,0,1,1,0,10.31548883192695,0,1,0,0.909676106356333,19.183946189482462,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0.0,30.737692722831856,1.1280955051328556,1301.0015035136817,2001.0,118.25451571875337,0,0,1,1,62.29192501768213,0
8,7.551458589728839,3.0,2000,836.0,0,2,664.5660413344845,2000,0,1,1,5.256959003070247,2.4172435844997704,0,1,1,0,15.004906128461243,0,1,0,0.909676106356333,27.823458070385303,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,46.9306141589486,36.17936985649286,1.1280955051328556,1603.6347642845985,2000.0,146.8803106951785,0,0,1,1,67.58853977109786,0
8,7.300678437850366,2.0,2004,636.0,0,2,945.0751887358598,2005,0,1,1,5.464595127351988,2.1726584790821972,0,1,1,0,12.191674050233505,0,1,1,0.909676106356333,20.5242157815252,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,56.82411416032527,33.15324634271306,0.0,0.0,2004.0,250.5814446001265,1,0,1,0,59.983360385667496,0
7,7.502968957742442,2.0,1973,484.0,1,2,644.4627174270556,1973,1,0,0,5.238735140510006,2.1726584790821972,0,1,0,0,23.768877732890232,0,0,0,1.7079350940324136,23.22360507738263,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,53.78433266410056,34.8447810963252,1.1280955051328556,1489.8687057144452,1973.0,178.80092480434897,0,0,1,1,60.589734713124216,0
7,7.345129552163815,2.0,1931,468.0,1,2,561.7872242679124,1950,1,0,0,5.1953845173411155,2.3014743180824713,1,0,0,1,0.0,0,0,0,1.7079350940324136,0.0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,28.027743910203387,24.596081629022787,0.0,1118.6909062084449,1931.0,0.0,0,0,0,0,50.440553059518024,0
5,6.863920828873187,1.0,1939,205.0,1,1,582.6971029902527,1950,1,0,0,5.223861025605477,1.8606870883213031,1,1,1,0,2.4039151069587996,0,0,0,1.7079350940324136,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,24.220447103122172,0.0,0.0,1939.0,177.5923350616195,0,0,0,0,53.93684530658255,0
5,6.830175250424811,1.0,1965,384.0,1,1,608.8634472937094,1965,1,0,0,5.20488374951275,1.8606870883213031,1,1,0,1,0.0,1,0,0,0.0,0.0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0.0,31.43381684215575,0.0,0.0,1965.0,185.83911006571105,0,0,1,0,62.19631361889662,0
9,7.60509222842303,3.0,2005,736.0,0,3,680.3943729294945,2006,0,0,1,5.2740825153209405,2.6187875964764404,0,1,1,0,6.957385873920329,0,0,1,1.7079350940324136,25.266032004676095,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,39.16745067428421,36.51055712991193,0.0,1749.0433620233594,2005.0,199.3283584492234,1,1,1,1,63.55380070117482,1
